body,x,y,z,vx,vy,vz
sun,-6.100641589141828E-03,6.425765745528313E-03,8.871906996836659E-05,-7.287256743049524E-06,-5.081798116470298E-06,2.182464478088091E-07
mercury,3.495536068460927E-01,-1.244005354235778E-01,-4.322650728859492E-02,4.227635822741497E-03,2.766717966358528E-02,1.872995651741010E-03
venus,-2.014564693577006E-01,6.979647054471583E-01,2.085192527188221E-02,-1.954030489393017E-02,-5.617030971633074E-03,1.050380933499449E-03
earth,9.197072435481757E-01,3.769489356926712E-01,6.612226445473284E-05,-6.680014422118789E-03,1.591045745844236E-02,-4.285733910918290E-07
mars,1.313182054438775E+00,5.238027403010505E-01,-2.143298790828418E-02,-4.580673738523137E-03,1.421746938727736E-02,4.104620361665089E-04
jupiter,2.550209154629485E+00,-4.432721232593654E+00,-3.866707508925721E-02,6.447098824156304E-03,4.121019457101368E-03,-1.613529989591600E-04
saturn,5.139559304458874E+00,-8.566560707385138E+00,-5.566040857035146E-02,4.473071224059222E-03,2.856412892846955E-03,-2.280945466479504E-04
uranus,1.553730695000689E+01,1.224236505232422E+01,-1.558191030077437E-01,-2.462967281250927E-03,2.906026427771245E-03,4.254080066644400E-05
neptune,2.941173255905554E+01,-5.468183359613734E+00,-5.652169944272230E-01,5.527763030717538E-04,3.104458967851615E-03,-7.691920531641856E-05
pluto,1.382471660524452E+01,-3.119980078838400E+01,-6.603591788579286E-01,2.944983000453516E-03,6.082667616140247E-04,-9.047041785714439E-04
