N,E,CV,Mabs,Chi,M
1,-1.8181818181818181e+00,1.3223140495867778e+00,9.0909090909090906e-01,3.3057851239669445e-01,9.0909090909090906e-01
2,-1.9801980198019802e+00,1.5684736790510811e-01,9.9009900990099009e-01,3.9211841976277029e-02,9.9009900990099009e-01
3,-1.9920079920079921e+00,6.3680575169085429e-02,9.9700299700299699e-01,9.9540818821535204e-03,-4.5454545454545453e-01
4,-1.9970002999700029e+00,2.3961607438897303e-02,9.9880011998800122e-01,4.1938211938226111e-03,-5.2954704529547048e-01
5,-1.9958600413995859e+00,3.3051111774460296e-02,9.9856001439985598e-01,4.4916607663356700e-03,-2.9249707502924971e-01
6,-1.9959220040779959e+00,3.2557447173072518e-02,9.9864800135199860e-01,4.0266843646277195e-03,-8.5643914356085649e-02
7,-1.9960156003984399e+00,3.1814895051420322e-02,9.9867325013267494e-01,3.9692585415282977e-03,3.5766496423350357e-03
8,-1.9959964000400361e+00,3.1967564429123740e-02,9.9866563001334374e-01,3.9956777869267768e-03,1.4228709857712902e-02
9,-1.9959825640040174e+00,3.2077744799929420e-02,9.9866081450133914e-01,4.0106793247831618e-03,1.4468734985531265e-03
